Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/WZ29.MP4	0	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/WZ29.MP4	0	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	9.52	H:/Individual recognition vids/Blind videos/WZ29.MP4	238	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	13.16	H:/Individual recognition vids/Blind videos/WZ29.MP4	329	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	14.48	H:/Individual recognition vids/Blind videos/WZ29.MP4	362	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	18.32	H:/Individual recognition vids/Blind videos/WZ29.MP4	458	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	24.04	H:/Individual recognition vids/Blind videos/WZ29.MP4	601	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	45.92	H:/Individual recognition vids/Blind videos/WZ29.MP4	1148	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	47.72	H:/Individual recognition vids/Blind videos/WZ29.MP4	1193	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Rst	Time budget	With kin	STOP	70.159	H:/Individual recognition vids/Blind videos/WZ29.MP4	NA	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Pre	Time budget	With kin	START	70.16	H:/Individual recognition vids/Blind videos/WZ29.MP4	1754	NA	NA
Jurek_PRF_25102022_1106	2024-07-04T04:10:46Z	Jurek_PRF_25102022_1106.MP4 Repititon, check which is better	709.44	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/WZ29.MP4	0	709.44	25	Jurek	PRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Hab	Playback phase	NA	START	71.48	H:/Individual recognition vids/Blind videos/WZ29.MP4	1787	NA	NA
