Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/XL52.MP4	0	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/XL52.MP4	0	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Distance	POINT	16.6	H:/Individual recognition vids/Blind videos/XL52.MP4	415	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Distance	POINT	18.52	H:/Individual recognition vids/Blind videos/XL52.MP4	463	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Distance	POINT	19.44	H:/Individual recognition vids/Blind videos/XL52.MP4	486	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	20.16	H:/Individual recognition vids/Blind videos/XL52.MP4	504	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Other	POINT	20.32	H:/Individual recognition vids/Blind videos/XL52.MP4	508	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Other	POINT	21.44	H:/Individual recognition vids/Blind videos/XL52.MP4	536	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	FVO	Reaction	Other	POINT	23.88	H:/Individual recognition vids/Blind videos/XL52.MP4	597	NA	NA
L'amour_FC_09112022_1028	2024-07-06T22:53:02Z	L'amour_FC_09112022_1028.MP4	704.64	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XL52.MP4	0	704.64	25	L'amour	FC	NA	2022-09-11T10:00:00Z	Outermost periphery	Sunny	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	STOP	27.399	H:/Individual recognition vids/Blind videos/XL52.MP4	NA	NA	NA
