Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/GA97.MP4	0	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/GA97.MP4	0	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	4.8	H:/Individual recognition vids/Blind videos/GA97.MP4	120	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	At speaker	POINT	4.8	H:/Individual recognition vids/Blind videos/GA97.MP4	120	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	45.56	H:/Individual recognition vids/Blind videos/GA97.MP4	1139	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	46.4	H:/Individual recognition vids/Blind videos/GA97.MP4	1160	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	80.08	H:/Individual recognition vids/Blind videos/GA97.MP4	2002	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	80.08	H:/Individual recognition vids/Blind videos/GA97.MP4	2002	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	89	H:/Individual recognition vids/Blind videos/GA97.MP4	2225	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	89.6	H:/Individual recognition vids/Blind videos/GA97.MP4	2241	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Hab	Playback phase	NA	START	141.04	H:/Individual recognition vids/Blind videos/GA97.MP4	3526	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	FVO	Reaction	Other	POINT	176.8	H:/Individual recognition vids/Blind videos/GA97.MP4	4420	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Htlt	Reaction	NA	POINT	294.12	H:/Individual recognition vids/Blind videos/GA97.MP4	7353	NA	NA
Lukka_FRF_24112022_1129	2024-02-16T20:06:50Z	Lukka_FRF_24112022_1129.MP4	780	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GA97.MP4	0	780	25	Lukka	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Recruitment	1m	NA	Look	Reaction	Away from speaker	POINT	294.12	H:/Individual recognition vids/Blind videos/GA97.MP4	7353	NA	NA
