Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/SL35.MP4	0	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/SL35.MP4	0	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	1.68	H:/Individual recognition vids/Blind videos/SL35.MP4	42	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	61.48	H:/Individual recognition vids/Blind videos/SL35.MP4	1537	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	64.72	H:/Individual recognition vids/Blind videos/SL35.MP4	1618	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	78.76	H:/Individual recognition vids/Blind videos/SL35.MP4	1969	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	80.04	H:/Individual recognition vids/Blind videos/SL35.MP4	2001	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	101.2	H:/Individual recognition vids/Blind videos/SL35.MP4	2530	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	Hab	Playback phase	NA	START	108.04	H:/Individual recognition vids/Blind videos/SL35.MP4	2701	NA	NA
Luna_FRF_102022_0952	2024-06-17T04:28:24Z	Luna_FRF_102022_0952.MP4	727.2	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/SL35.MP4	0	727.2	25	Luna	FRF	NA	2022-09-11T10:00:00Z	Centre	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Other	POINT	125	H:/Individual recognition vids/Blind videos/SL35.MP4	3125	NA	NA
