Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/TT33.MP4	0	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	0	H:/Individual recognition vids/Blind videos/TT33.MP4	0	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/TT33.MP4	NA	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	1.44	H:/Individual recognition vids/Blind videos/TT33.MP4	36	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	HSH	Reaction	NA	POINT	3.88	H:/Individual recognition vids/Blind videos/TT33.MP4	97	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	4.84	H:/Individual recognition vids/Blind videos/TT33.MP4	121	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	6.48	H:/Individual recognition vids/Blind videos/TT33.MP4	162	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Voc	Reaction	Recruitment	POINT	7.48	H:/Individual recognition vids/Blind videos/TT33.MP4	187	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	8.32	H:/Individual recognition vids/Blind videos/TT33.MP4	208	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	9.88	H:/Individual recognition vids/Blind videos/TT33.MP4	247	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Voc	Reaction	Contact	POINT	10.76	H:/Individual recognition vids/Blind videos/TT33.MP4	269	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Mov	Locomotion	Away from speaker	START	11	H:/Individual recognition vids/Blind videos/TT33.MP4	275	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Voc	Reaction	Recruitment	POINT	12.16	H:/Individual recognition vids/Blind videos/TT33.MP4	304	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	STOP	15.64	H:/Individual recognition vids/Blind videos/TT33.MP4	391	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Voc	Reaction	Contact	POINT	16.28	H:/Individual recognition vids/Blind videos/TT33.MP4	407	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Voc	Reaction	Recruitment	POINT	20.4	H:/Individual recognition vids/Blind videos/TT33.MP4	510	NA	NA
Olga_FRF_29102022_0940	2024-06-20T12:10:09Z	Olga_FRF_29102022_0940.MP4	723.84	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/TT33.MP4	0	723.84	25	Olga	FRF	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	22.8	H:/Individual recognition vids/Blind videos/TT33.MP4	570	NA	NA
