Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/NI66.MP4	0	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	Rst	Time budget	With kin	START	0	H:/Individual recognition vids/Blind videos/NI66.MP4	0	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	16.4	H:/Individual recognition vids/Blind videos/NI66.MP4	410	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	20.24	H:/Individual recognition vids/Blind videos/NI66.MP4	506	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	23.44	H:/Individual recognition vids/Blind videos/NI66.MP4	586	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	FVO	Reaction	Recruitment	POINT	28.04	H:/Individual recognition vids/Blind videos/NI66.MP4	701	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	Rst	Time budget	With kin	STOP	28.279	H:/Individual recognition vids/Blind videos/NI66.MP4	NA	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	28.28	H:/Individual recognition vids/Blind videos/NI66.MP4	707	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	28.28	H:/Individual recognition vids/Blind videos/NI66.MP4	707	NA	NA
Pudding_FC_31102022_1020	2024-03-18T21:44:51Z	Pudding_FC_31102022_1020.MP4	742.08	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/NI66.MP4	0	742.08	25	Pudding	FC	NA	2022-09-11T10:00:00Z	Outer periphery	Sunny	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	30.64	H:/Individual recognition vids/Blind videos/NI66.MP4	766	NA	NA
