Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Mov	Locomotion	Away from speaker	START	0	H:/Individual recognition vids/Blind videos/RI98.MP4	NA	NA	Event automatically added by the fix unpaired state events function
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	START	0.001	H:/Individual recognition vids/Blind videos/RI98.MP4	NA	NA	Event automatically added by the fix unpaired state events function
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	24.8	H:/Individual recognition vids/Blind videos/RI98.MP4	620	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Mov	Locomotion	Towards speaker	START	24.8	H:/Individual recognition vids/Blind videos/RI98.MP4	620	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	25.24	H:/Individual recognition vids/Blind videos/RI98.MP4	631	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	27.2	H:/Individual recognition vids/Blind videos/RI98.MP4	680	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	28.32	H:/Individual recognition vids/Blind videos/RI98.MP4	708	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	29.16	H:/Individual recognition vids/Blind videos/RI98.MP4	729	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Mov	Locomotion	Towards speaker	STOP	29.879	H:/Individual recognition vids/Blind videos/RI98.MP4	NA	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	START	29.88	H:/Individual recognition vids/Blind videos/RI98.MP4	747	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	FVO	Reaction	Distance	POINT	30.28	H:/Individual recognition vids/Blind videos/RI98.MP4	757	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	31.04	H:/Individual recognition vids/Blind videos/RI98.MP4	776	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	STOP	36.119	H:/Individual recognition vids/Blind videos/RI98.MP4	NA	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Short Neck	STOP	36.12	H:/Individual recognition vids/Blind videos/RI98.MP4	903	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	36.36	H:/Individual recognition vids/Blind videos/RI98.MP4	909	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Mov	Locomotion	Away from speaker	STOP	38.64	H:/Individual recognition vids/Blind videos/RI98.MP4	966	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	38.8	H:/Individual recognition vids/Blind videos/RI98.MP4	970	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	HSH	Reaction	NA	POINT	41.44	H:/Individual recognition vids/Blind videos/RI98.MP4	1036	NA	NA
Rubezahl_FRP_22102022_1810	2024-04-16T10:06:57Z	Rubezahl_FRP_22102022_1810.MP4	801.12	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RI98.MP4	0	801.12	25	Rubezahl	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	42	H:/Individual recognition vids/Blind videos/RI98.MP4	1050	NA	NA
