Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/MI76.MP4	0	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	At speaker	POINT	0	H:/Individual recognition vids/Blind videos/MI76.MP4	0	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/MI76.MP4	0	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	2.16	H:/Individual recognition vids/Blind videos/MI76.MP4	54	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	STOP	4.599	H:/Individual recognition vids/Blind videos/MI76.MP4	NA	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	START	4.6	H:/Individual recognition vids/Blind videos/MI76.MP4	115	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	11.72	H:/Individual recognition vids/Blind videos/MI76.MP4	293	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Eat	Time budget	With kin	STOP	12.039	H:/Individual recognition vids/Blind videos/MI76.MP4	NA	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Vig	Time budget	Mid neck	START	12.04	H:/Individual recognition vids/Blind videos/MI76.MP4	301	NA	NA
Taras_FRP_11112022_0843	2024-03-15T15:45:02Z	Taras_FRP_11112022_0843.MP4	708.96	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/MI76.MP4	0	708.96	25	Taras	FRP	NA	2022-09-11T10:00:00Z	Inner eriphery	Overcast	KLF	Recruitment	2m	NA	Look	Reaction	Away from speaker	POINT	13.6	H:/Individual recognition vids/Blind videos/MI76.MP4	340	NA	NA
