Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	...28
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Ass	Interaction	Kin	START	0	H:/Individual recognition vids/Blind videos/VI35.MP4	0	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	0	H:/Individual recognition vids/Blind videos/VI35.MP4	0	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	At speaker	POINT	3.16	H:/Individual recognition vids/Blind videos/VI35.MP4	79	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	STOP	4.999	H:/Individual recognition vids/Blind videos/VI35.MP4	NA	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	START	5	H:/Individual recognition vids/Blind videos/VI35.MP4	125	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Eat	Time budget	With kin	STOP	9.199	H:/Individual recognition vids/Blind videos/VI35.MP4	NA	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	9.2	H:/Individual recognition vids/Blind videos/VI35.MP4	230	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Vig	Time budget	Mid neck	START	9.2	H:/Individual recognition vids/Blind videos/VI35.MP4	230	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	11.6	H:/Individual recognition vids/Blind videos/VI35.MP4	290	NA	NA
Triton_FRP_24102022_1013	2024-06-26T23:00:23Z	Triton_FRP_24102022_1013.MP4	744.48	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VI35.MP4	0	744.48	25	Triton	FRP	NA	2022-09-11T10:00:00Z	Outermost periphery	Overcast	KLF	Departure	2m	NA	Look	Reaction	Away from speaker	POINT	13.2	H:/Individual recognition vids/Blind videos/VI35.MP4	330	NA	NA
