Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/AY11.MP4	0	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/AY11.MP4	0	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	11.080	H:/Individual recognition vids/Blind videos/AY11.MP4	277	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Voc	Reaction	Contact	POINT	11.480	H:/Individual recognition vids/Blind videos/AY11.MP4	287	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	18.760	H:/Individual recognition vids/Blind videos/AY11.MP4	469	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	27.840	H:/Individual recognition vids/Blind videos/AY11.MP4	696	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	40.400	H:/Individual recognition vids/Blind videos/AY11.MP4	1010	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	42.200	H:/Individual recognition vids/Blind videos/AY11.MP4	1055	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	44.320	H:/Individual recognition vids/Blind videos/AY11.MP4	1108	NA	
AY11	2023-12-20 23:36:45.000	Hera_FRF_19102022_1050.MP4	710.400	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AY11.MP4	0.0	710.400	25.000	Hera	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	STOP	44.759	H:/Individual recognition vids/Blind videos/AY11.MP4	NA	NA	
