Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	4.800	H:/Individual recognition vids/Blind videos/BD57.MP4	120	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	Alone	START	4.800	H:/Individual recognition vids/Blind videos/BD57.MP4	120	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	18.760	H:/Individual recognition vids/Blind videos/BD57.MP4	469	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	Alone	STOP	20.239	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	20.240	H:/Individual recognition vids/Blind videos/BD57.MP4	506	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	24.200	H:/Individual recognition vids/Blind videos/BD57.MP4	605	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	48.440	H:/Individual recognition vids/Blind videos/BD57.MP4	1211	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	53.520	H:/Individual recognition vids/Blind videos/BD57.MP4	1338	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	61.840	H:/Individual recognition vids/Blind videos/BD57.MP4	1546	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	63.320	H:/Individual recognition vids/Blind videos/BD57.MP4	1583	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	65.440	H:/Individual recognition vids/Blind videos/BD57.MP4	1636	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	67.640	H:/Individual recognition vids/Blind videos/BD57.MP4	1691	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	69.879	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	START	69.880	H:/Individual recognition vids/Blind videos/BD57.MP4	1747	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Hab	Playback phase		START	70.040	H:/Individual recognition vids/Blind videos/BD57.MP4	1751	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	79.000	H:/Individual recognition vids/Blind videos/BD57.MP4	1975	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	91.800	H:/Individual recognition vids/Blind videos/BD57.MP4	2295	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	97.200	H:/Individual recognition vids/Blind videos/BD57.MP4	2430	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	101.280	H:/Individual recognition vids/Blind videos/BD57.MP4	2532	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	STOP	110.679	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	110.680	H:/Individual recognition vids/Blind videos/BD57.MP4	2767	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	111.639	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	START	111.640	H:/Individual recognition vids/Blind videos/BD57.MP4	2791	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	STOP	128.559	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	128.560	H:/Individual recognition vids/Blind videos/BD57.MP4	3214	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	130.800	H:/Individual recognition vids/Blind videos/BD57.MP4	3270	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	132.600	H:/Individual recognition vids/Blind videos/BD57.MP4	3315	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	137.120	H:/Individual recognition vids/Blind videos/BD57.MP4	3428	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	141.040	H:/Individual recognition vids/Blind videos/BD57.MP4	3526	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	147.560	H:/Individual recognition vids/Blind videos/BD57.MP4	3689	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	149.319	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	START	149.320	H:/Individual recognition vids/Blind videos/BD57.MP4	3733	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	151.240	H:/Individual recognition vids/Blind videos/BD57.MP4	3781	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	STOP	172.559	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	172.560	H:/Individual recognition vids/Blind videos/BD57.MP4	4314	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	172.560	H:/Individual recognition vids/Blind videos/BD57.MP4	4314	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	175.240	H:/Individual recognition vids/Blind videos/BD57.MP4	4381	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Agn	Interaction	Towards other	POINT	181.520	H:/Individual recognition vids/Blind videos/BD57.MP4	4538	NA	
BD57	2023-12-26 15:32:13.000	Koarl_FC_14102022_1035.MP4	721.440	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BD57.MP4	0.0	726.240	25.000	Koarl	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	STOP	182.559	H:/Individual recognition vids/Blind videos/BD57.MP4	NA	NA	
