Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/CY11.MP4	0	NA	
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/CY11.MP4	0	NA	
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	76.040	H:/Individual recognition vids/Blind videos/CY11.MP4	1901	NA	In response to mate
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	79.880	H:/Individual recognition vids/Blind videos/CY11.MP4	1997	NA	In response to mate
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Other	POINT	84.680	H:/Individual recognition vids/Blind videos/CY11.MP4	2117	NA	In response to mate
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	STOP	85.879	H:/Individual recognition vids/Blind videos/CY11.MP4	NA	NA	
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Long neck	START	85.880	H:/Individual recognition vids/Blind videos/CY11.MP4	2147	NA	
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	87.280	H:/Individual recognition vids/Blind videos/CY11.MP4	2182	NA	
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Other	POINT	88.280	H:/Individual recognition vids/Blind videos/CY11.MP4	2207	NA	In response to mate
CY11	2024-01-04 23:16:25.000	Bruce Springsteen_FRF_21112022_0913.MP4 Triple/Edit	725.320	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/CY11.MP4	0.0	1040.640	25.000	Bruce Springsteen	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	91.440	H:/Individual recognition vids/Blind videos/CY11.MP4	2286	NA	In response to mate
