Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/DM46.MP4	0	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	START	9.920	H:/Individual recognition vids/Blind videos/DM46.MP4	248	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	17.560	H:/Individual recognition vids/Blind videos/DM46.MP4	439	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	84.480	H:/Individual recognition vids/Blind videos/DM46.MP4	2112	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	101.000	H:/Individual recognition vids/Blind videos/DM46.MP4	2525	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		START	114.760	H:/Individual recognition vids/Blind videos/DM46.MP4	2869	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	309.200	H:/Individual recognition vids/Blind videos/DM46.MP4	7730	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	311.560	H:/Individual recognition vids/Blind videos/DM46.MP4	7789	NA	Something flying over
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	328.160	H:/Individual recognition vids/Blind videos/DM46.MP4	8204	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	328.920	H:/Individual recognition vids/Blind videos/DM46.MP4	8223	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		STOP	358.360	H:/Individual recognition vids/Blind videos/DM46.MP4	8959	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	390.200	H:/Individual recognition vids/Blind videos/DM46.MP4	9755	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	396.360	H:/Individual recognition vids/Blind videos/DM46.MP4	9909	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	406.960	H:/Individual recognition vids/Blind videos/DM46.MP4	10174	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	443.680	H:/Individual recognition vids/Blind videos/DM46.MP4	11092	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Dhb	Playback phase		START	446.440	H:/Individual recognition vids/Blind videos/DM46.MP4	11161	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	450.640	H:/Individual recognition vids/Blind videos/DM46.MP4	11266	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	STOP	455.319	H:/Individual recognition vids/Blind videos/DM46.MP4	NA	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	START	455.320	H:/Individual recognition vids/Blind videos/DM46.MP4	11383	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	456.880	H:/Individual recognition vids/Blind videos/DM46.MP4	11422	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	459.080	H:/Individual recognition vids/Blind videos/DM46.MP4	11477	NA	
DM46	2024-01-07 22:38:49.000	Idgie_FRP_08112022_0934.MP4	775.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DM46.MP4	0.0	775.680	25.000	Idgie	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	460.680	H:/Individual recognition vids/Blind videos/DM46.MP4	11517	NA	
