Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	Alone	START	0.000	H:/Individual recognition vids/Blind videos/DS86.MP4	NA	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	6.400	H:/Individual recognition vids/Blind videos/DS86.MP4	160	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	85.880	H:/Individual recognition vids/Blind videos/DS86.MP4	2147	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		START	97.680	H:/Individual recognition vids/Blind videos/DS86.MP4	2442	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	105.120	H:/Individual recognition vids/Blind videos/DS86.MP4	2629	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	108.920	H:/Individual recognition vids/Blind videos/DS86.MP4	2723	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	108.920	H:/Individual recognition vids/Blind videos/DS86.MP4	2723	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	Alone	STOP	109.639	H:/Individual recognition vids/Blind videos/DS86.MP4	NA	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Long neck	START	109.640	H:/Individual recognition vids/Blind videos/DS86.MP4	2741	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	111.720	H:/Individual recognition vids/Blind videos/DS86.MP4	2793	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	126.600	H:/Individual recognition vids/Blind videos/DS86.MP4	3165	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Long neck	STOP	132.320	H:/Individual recognition vids/Blind videos/DS86.MP4	3308	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	133.520	H:/Individual recognition vids/Blind videos/DS86.MP4	3338	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	134.720	H:/Individual recognition vids/Blind videos/DS86.MP4	3368	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	Alone	START	136.880	H:/Individual recognition vids/Blind videos/DS86.MP4	3422	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	138.640	H:/Individual recognition vids/Blind videos/DS86.MP4	3466	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	172.920	H:/Individual recognition vids/Blind videos/DS86.MP4	4323	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	228.760	H:/Individual recognition vids/Blind videos/DS86.MP4	5719	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	228.760	H:/Individual recognition vids/Blind videos/DS86.MP4	5719	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	252.680	H:/Individual recognition vids/Blind videos/DS86.MP4	6317	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		STOP	343.440	H:/Individual recognition vids/Blind videos/DS86.MP4	8586	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	Alone	STOP	355.999	H:/Individual recognition vids/Blind videos/DS86.MP4	NA	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	356.000	H:/Individual recognition vids/Blind videos/DS86.MP4	8900	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	356.000	H:/Individual recognition vids/Blind videos/DS86.MP4	8900	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	START	356.000	H:/Individual recognition vids/Blind videos/DS86.MP4	8900	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	356.880	H:/Individual recognition vids/Blind videos/DS86.MP4	8922	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	356.880	H:/Individual recognition vids/Blind videos/DS86.MP4	8922	NA	
DS86	2024-01-20 11:47:12.000	Eastwood_PRF_12112022_0945.MP4	713.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/DS86.MP4	0.0	713.760	25.000	Eastwood	PRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	358.920	H:/Individual recognition vids/Blind videos/DS86.MP4	8973	NA	
