Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	START	1.800	H:/Individual recognition vids/Blind videos/FS52.MP4	45	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	2.680	H:/Individual recognition vids/Blind videos/FS52.MP4	67	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Vig	Time budget	Long neck	START	3.000	H:/Individual recognition vids/Blind videos/FS52.MP4	75	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	3.880	H:/Individual recognition vids/Blind videos/FS52.MP4	97	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	5.440	H:/Individual recognition vids/Blind videos/FS52.MP4	136	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	6.600	H:/Individual recognition vids/Blind videos/FS52.MP4	165	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	14.040	H:/Individual recognition vids/Blind videos/FS52.MP4	351	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	14.680	H:/Individual recognition vids/Blind videos/FS52.MP4	367	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	16.040	H:/Individual recognition vids/Blind videos/FS52.MP4	401	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	24.760	H:/Individual recognition vids/Blind videos/FS52.MP4	620	NA	
FS52	2024-01-28 21:58:28.000	Olga_FRP_26102022_1115.MP4	738.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/FS52.MP4	0.0	741.600	25.000	Olga	FRP		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	25.960	H:/Individual recognition vids/Blind videos/FS52.MP4	649	NA	
