Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/GM92.MP4	0	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/GM92.MP4	0	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	51.720	H:/Individual recognition vids/Blind videos/GM92.MP4	1293	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	51.720	H:/Individual recognition vids/Blind videos/GM92.MP4	1293	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		START	70.480	H:/Individual recognition vids/Blind videos/GM92.MP4	1762	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	78.600	H:/Individual recognition vids/Blind videos/GM92.MP4	1965	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	78.600	H:/Individual recognition vids/Blind videos/GM92.MP4	1965	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	STOP	80.679	H:/Individual recognition vids/Blind videos/GM92.MP4	NA	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	START	80.680	H:/Individual recognition vids/Blind videos/GM92.MP4	2017	NA	
GM92	2024-02-22 17:27:07.000	Jumper_FRF_23112022_1058.MP4 Triple/edit the third playback out	795.760	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GM92.MP4	0.0	1103.040	25.000	Jumper	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	STOP	84.799	H:/Individual recognition vids/Blind videos/GM92.MP4	NA	NA	
