Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	0.000	H:/Individual recognition vids/Blind videos/KI15.MP4	0	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	2.719	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	START	2.720	H:/Individual recognition vids/Blind videos/KI15.MP4	68	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	STOP	8.999	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	9.000	H:/Individual recognition vids/Blind videos/KI15.MP4	225	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Mid neck	START	9.000	H:/Individual recognition vids/Blind videos/KI15.MP4	225	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	11.280	H:/Individual recognition vids/Blind videos/KI15.MP4	282	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	12.240	H:/Individual recognition vids/Blind videos/KI15.MP4	306	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	15.360	H:/Individual recognition vids/Blind videos/KI15.MP4	384	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Mid neck	STOP	16.719	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	START	16.720	H:/Individual recognition vids/Blind videos/KI15.MP4	418	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	28.760	H:/Individual recognition vids/Blind videos/KI15.MP4	719	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	STOP	29.159	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Mid neck	START	29.160	H:/Individual recognition vids/Blind videos/KI15.MP4	729	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	30.520	H:/Individual recognition vids/Blind videos/KI15.MP4	763	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Mid neck	STOP	32.479	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	START	32.480	H:/Individual recognition vids/Blind videos/KI15.MP4	812	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	44.240	H:/Individual recognition vids/Blind videos/KI15.MP4	1106	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	STOP	44.839	H:/Individual recognition vids/Blind videos/KI15.MP4	NA	NA	
KI15	2024-03-09 20:48:01.000	Emu_PRF_20102022_1052.MP4 Triple, edit out last phase	810.759	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/KI15.MP4	0.0	915.840	25.000	Emu	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Mid neck	START	44.840	H:/Individual recognition vids/Blind videos/KI15.MP4	1121	NA	
