Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/OJ36.MP4	0	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	1.600	H:/Individual recognition vids/Blind videos/OJ36.MP4	40	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	START	2.560	H:/Individual recognition vids/Blind videos/OJ36.MP4	64	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	STOP	8.799	H:/Individual recognition vids/Blind videos/OJ36.MP4	NA	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	8.800	H:/Individual recognition vids/Blind videos/OJ36.MP4	220	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	10.040	H:/Individual recognition vids/Blind videos/OJ36.MP4	251	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	11.080	H:/Individual recognition vids/Blind videos/OJ36.MP4	277	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	12.560	H:/Individual recognition vids/Blind videos/OJ36.MP4	314	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	13.440	H:/Individual recognition vids/Blind videos/OJ36.MP4	336	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	18.440	H:/Individual recognition vids/Blind videos/OJ36.MP4	461	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	26.840	H:/Individual recognition vids/Blind videos/OJ36.MP4	671	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	29.040	H:/Individual recognition vids/Blind videos/OJ36.MP4	726	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	29.920	H:/Individual recognition vids/Blind videos/OJ36.MP4	748	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	30.320	H:/Individual recognition vids/Blind videos/OJ36.MP4	758	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	31.440	H:/Individual recognition vids/Blind videos/OJ36.MP4	786	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	32.800	H:/Individual recognition vids/Blind videos/OJ36.MP4	820	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	STOP	32.959	H:/Individual recognition vids/Blind videos/OJ36.MP4	NA	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		Pre	Time budget	With kin	START	32.960	H:/Individual recognition vids/Blind videos/OJ36.MP4	824	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	34.520	H:/Individual recognition vids/Blind videos/OJ36.MP4	863	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	36.840	H:/Individual recognition vids/Blind videos/OJ36.MP4	921	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	38.200	H:/Individual recognition vids/Blind videos/OJ36.MP4	955	NA	
OJ36	2024-04-09 00:24:58.000	Luna_PRF_27102022_1006.MP4	729.120	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/OJ36.MP4	0.0	729.120	25.000	Luna	PRF		2022-09-11T10:00:00	Centre	Sunny	KLF	Departure	2m		FVO	Reaction	Distance	POINT	40.160	H:/Individual recognition vids/Blind videos/OJ36.MP4	1004	NA	
