Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/RS84.MP4	0	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/RS84.MP4	0	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	1.440	H:/Individual recognition vids/Blind videos/RS84.MP4	36	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	With kin	STOP	23.399	H:/Individual recognition vids/Blind videos/RS84.MP4	NA	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	23.400	H:/Individual recognition vids/Blind videos/RS84.MP4	585	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Vig	Time budget	Short Neck	START	23.400	H:/Individual recognition vids/Blind videos/RS84.MP4	585	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Vig	Time budget	Short Neck	STOP	26.119	H:/Individual recognition vids/Blind videos/RS84.MP4	NA	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Pre	Time budget	With kin	START	26.120	H:/Individual recognition vids/Blind videos/RS84.MP4	653	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	32.000	H:/Individual recognition vids/Blind videos/RS84.MP4	800	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	37.360	H:/Individual recognition vids/Blind videos/RS84.MP4	934	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	64.200	H:/Individual recognition vids/Blind videos/RS84.MP4	1605	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	68.880	H:/Individual recognition vids/Blind videos/RS84.MP4	1722	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	70.000	H:/Individual recognition vids/Blind videos/RS84.MP4	1750	NA	
RS84	2024-06-08 17:07:12.000	Jessica_FRP_03112022_1015.MP4	705.000	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RS84.MP4	0.0	1011.840	25.000	Jessica	FRP		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	70.920	H:/Individual recognition vids/Blind videos/RS84.MP4	1773	NA	
