Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Mov	Locomotion	Away from speaker	START	0.000	H:/Individual recognition vids/Blind videos/UB31.MP4	0	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Vig	Time budget	Short Neck	START	0.000	H:/Individual recognition vids/Blind videos/UB31.MP4	NA	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	1.200	H:/Individual recognition vids/Blind videos/UB31.MP4	30	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	5.760	H:/Individual recognition vids/Blind videos/UB31.MP4	144	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	9.800	H:/Individual recognition vids/Blind videos/UB31.MP4	245	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Htlt	Reaction		POINT	10.240	H:/Individual recognition vids/Blind videos/UB31.MP4	256	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	12.680	H:/Individual recognition vids/Blind videos/UB31.MP4	317	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Voc	Reaction	Contact	POINT	14.960	H:/Individual recognition vids/Blind videos/UB31.MP4	374	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Mov	Locomotion	Away from speaker	STOP	20.800	H:/Individual recognition vids/Blind videos/UB31.MP4	520	NA	
UB31	2024-06-21 23:44:32.000	Bernard_PRF_23102022_0950.MP4 During mate playback, Bernard circled me and the speaker and started greeting the geese around me at random. I am guessing he could hear his separated partner calls coming from the direction of those geese and was greeting them thinking one of them is his partner :) 	737.280	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UB31.MP4	0.0	737.280	25.000	Bernard	PRF		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	21.160	H:/Individual recognition vids/Blind videos/UB31.MP4	529	NA	
