Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/VM58.MP4	0	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Rst	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/VM58.MP4	0	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	0.720	H:/Individual recognition vids/Blind videos/VM58.MP4	18	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Rst	Time budget	With kin	STOP	2.799	H:/Individual recognition vids/Blind videos/VM58.MP4	NA	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	START	2.800	H:/Individual recognition vids/Blind videos/VM58.MP4	70	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Pre	Time budget	With kin	STOP	5.799	H:/Individual recognition vids/Blind videos/VM58.MP4	NA	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	5.800	H:/Individual recognition vids/Blind videos/VM58.MP4	145	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	START	5.800	H:/Individual recognition vids/Blind videos/VM58.MP4	145	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	7.400	H:/Individual recognition vids/Blind videos/VM58.MP4	185	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	9.360	H:/Individual recognition vids/Blind videos/VM58.MP4	234	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	9.920	H:/Individual recognition vids/Blind videos/VM58.MP4	248	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	11.320	H:/Individual recognition vids/Blind videos/VM58.MP4	283	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	12.600	H:/Individual recognition vids/Blind videos/VM58.MP4	315	NA	
VM58	2024-06-26 23:20:21.000	Lauffuss_FC_19102022_1145.MP4	740.640	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/VM58.MP4	0.0	740.640	25.000	Lauffuss	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	2m		Vig	Time budget	Mid neck	STOP	13.959	H:/Individual recognition vids/Blind videos/VM58.MP4	NA	NA	
