Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/XW88.MP4	0	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Eat	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/XW88.MP4	0	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	4.320	H:/Individual recognition vids/Blind videos/XW88.MP4	108	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	16.760	H:/Individual recognition vids/Blind videos/XW88.MP4	420	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	25.200	H:/Individual recognition vids/Blind videos/XW88.MP4	630	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	At speaker	POINT	47.920	H:/Individual recognition vids/Blind videos/XW88.MP4	1198	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	57.320	H:/Individual recognition vids/Blind videos/XW88.MP4	1433	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	68.720	H:/Individual recognition vids/Blind videos/XW88.MP4	1718	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Eat	Time budget	With kin	STOP	69.599	H:/Individual recognition vids/Blind videos/XW88.MP4	NA	NA	
XW88	2024-07-08 13:28:56.000	JB_FRP_27102022_1130.MP4	726.720	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/XW88.MP4	0.0	726.720	25.000	JB	FRP		2022-09-11T10:00:00	Outermost periphery	Sunny	KLF	Departure	2m		Fllw	Interaction	Kin	POINT	69.600	H:/Individual recognition vids/Blind videos/XW88.MP4	1740	NA	
