Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Eat	Time budget	With other	START	0.000	H:/Individual recognition vids/Blind videos/ZR55.MP4	NA	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	3.120	H:/Individual recognition vids/Blind videos/ZR55.MP4	78	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	8.760	H:/Individual recognition vids/Blind videos/ZR55.MP4	219	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	17.480	H:/Individual recognition vids/Blind videos/ZR55.MP4	437	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	22.240	H:/Individual recognition vids/Blind videos/ZR55.MP4	556	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	27.200	H:/Individual recognition vids/Blind videos/ZR55.MP4	680	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	28.120	H:/Individual recognition vids/Blind videos/ZR55.MP4	703	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	37.360	H:/Individual recognition vids/Blind videos/ZR55.MP4	934	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	38.080	H:/Individual recognition vids/Blind videos/ZR55.MP4	952	NA	
ZR55	2024-07-15 20:39:00.000	Bernard_FRP_13112022_0905.MP4	740.160	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZR55.MP4	0.0	740.160	25.000	Bernard	FRP		2022-09-11T10:00:00	Centre	Sunny	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	43.760	H:/Individual recognition vids/Blind videos/ZR55.MP4	1094	NA	
