Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.720	H:/Individual recognition vids/Blind videos/AN32.MP4	18	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	START	0.720	H:/Individual recognition vids/Blind videos/AN32.MP4	18	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	2.960	H:/Individual recognition vids/Blind videos/AN32.MP4	74	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	STOP	4.559	H:/Individual recognition vids/Blind videos/AN32.MP4	NA	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Pre	Time budget	With kin	START	4.560	H:/Individual recognition vids/Blind videos/AN32.MP4	114	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	30.880	H:/Individual recognition vids/Blind videos/AN32.MP4	772	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	36.920	H:/Individual recognition vids/Blind videos/AN32.MP4	923	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	56.400	H:/Individual recognition vids/Blind videos/AN32.MP4	1410	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	73.120	H:/Individual recognition vids/Blind videos/AN32.MP4	1828	NA	
AN32	2023-12-19 16:04:36.000	Dorothea_FRF_19112022_0904.MP4 A lot of the reactions during dsh are due to vigliance towards conspecifics when feeding in a tight space. 	715.920	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/AN32.MP4	0.0	716.640	25.000	Dorothea	FRF	191120220904	2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	87.360	H:/Individual recognition vids/Blind videos/AN32.MP4	2184	NA	
