Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/BF67.MP4	0	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	5.280	H:/Individual recognition vids/Blind videos/BF67.MP4	132	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	START	5.760	H:/Individual recognition vids/Blind videos/BF67.MP4	144	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Fllw	Interaction	Kin	POINT	9.240	H:/Individual recognition vids/Blind videos/BF67.MP4	231	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	13.520	H:/Individual recognition vids/Blind videos/BF67.MP4	338	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Mov	Locomotion	Away from speaker	STOP	21.239	H:/Individual recognition vids/Blind videos/BF67.MP4	NA	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	START	21.240	H:/Individual recognition vids/Blind videos/BF67.MP4	531	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	26.160	H:/Individual recognition vids/Blind videos/BF67.MP4	654	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	30.480	H:/Individual recognition vids/Blind videos/BF67.MP4	762	NA	
BF67	2023-12-28 19:15:29.000	Diamante_FC_31102022_0944.MP4 Triple/EDIT END	714.362	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/BF67.MP4	0.0	1055.520	25.000	Diamante	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	34.960	H:/Individual recognition vids/Blind videos/BF67.MP4	874	NA	
