Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.720	H:/Individual recognition vids/Blind videos/GD21.MP4	18	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Rst	Time budget	With kin	START	0.720	H:/Individual recognition vids/Blind videos/GD21.MP4	18	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	13.840	H:/Individual recognition vids/Blind videos/GD21.MP4	346	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	17.920	H:/Individual recognition vids/Blind videos/GD21.MP4	448	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	34.400	H:/Individual recognition vids/Blind videos/GD21.MP4	860	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Other	POINT	77.600	H:/Individual recognition vids/Blind videos/GD21.MP4	1940	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		START	83.840	H:/Individual recognition vids/Blind videos/GD21.MP4	2096	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	146.080	H:/Individual recognition vids/Blind videos/GD21.MP4	3652	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	146.080	H:/Individual recognition vids/Blind videos/GD21.MP4	3652	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Htlt	Reaction		POINT	289.240	H:/Individual recognition vids/Blind videos/GD21.MP4	7231	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	289.240	H:/Individual recognition vids/Blind videos/GD21.MP4	7231	NA	
GD21	2024-02-17 18:17:27.000	Kendo_FC_12112022_1010.MP4	701.040	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/GD21.MP4	0.0	701.760	25.000	Kendo	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Hab	Playback phase		STOP	335.560	H:/Individual recognition vids/Blind videos/GD21.MP4	8389	NA	
