Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/IR18.MP4	0	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/IR18.MP4	0	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Mid neck	START	0.000	H:/Individual recognition vids/Blind videos/IR18.MP4	0	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	1.720	H:/Individual recognition vids/Blind videos/IR18.MP4	43	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	5.760	H:/Individual recognition vids/Blind videos/IR18.MP4	144	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	6.920	H:/Individual recognition vids/Blind videos/IR18.MP4	173	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	10.880	H:/Individual recognition vids/Blind videos/IR18.MP4	272	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	17.520	H:/Individual recognition vids/Blind videos/IR18.MP4	438	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		FVO	Reaction	Distance	POINT	19.480	H:/Individual recognition vids/Blind videos/IR18.MP4	488	NA	
IR18	2024-02-26 13:34:05.000	Anthony_FRF_21112022_0930.MP4 Flock vocalising because of overhead ravens Edit out the pause during hab phase (ca. 30 sec)	767.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/IR18.MP4	0.0	767.520	25.000	Anthony	FRF		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Vig	Time budget	Mid neck	STOP	23.399	H:/Individual recognition vids/Blind videos/IR18.MP4	NA	NA	
