Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/JH77.MP4	0	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Eat	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/JH77.MP4	0	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	3.440	H:/Individual recognition vids/Blind videos/JH77.MP4	86	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	8.480	H:/Individual recognition vids/Blind videos/JH77.MP4	212	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	13.080	H:/Individual recognition vids/Blind videos/JH77.MP4	327	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Eat	Time budget	With kin	STOP	14.559	H:/Individual recognition vids/Blind videos/JH77.MP4	NA	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Pre	Time budget	With kin	START	14.560	H:/Individual recognition vids/Blind videos/JH77.MP4	364	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	20.720	H:/Individual recognition vids/Blind videos/JH77.MP4	518	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Agn	Interaction	Towards other	POINT	21.320	H:/Individual recognition vids/Blind videos/JH77.MP4	533	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Pre	Time budget	With kin	STOP	22.839	H:/Individual recognition vids/Blind videos/JH77.MP4	NA	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Eat	Time budget	With kin	START	22.840	H:/Individual recognition vids/Blind videos/JH77.MP4	571	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Voc	Reaction	Contact	POINT	23.280	H:/Individual recognition vids/Blind videos/JH77.MP4	582	NA	
JH77	2024-02-28 22:37:05.000	Leia_FC_06112022_0905.MP4 	709.680	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/JH77.MP4	0.0	1017.600	25.000	Leia	FC		2022-09-11T10:00:00	Centre	Overcast	KLF	Recruitment	1m		Look	Reaction	Away from speaker	POINT	26.960	H:/Individual recognition vids/Blind videos/JH77.MP4	674	NA	
