Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/PO48.MP4	0	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	0.000	H:/Individual recognition vids/Blind videos/PO48.MP4	0	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	1.040	H:/Individual recognition vids/Blind videos/PO48.MP4	26	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	2.440	H:/Individual recognition vids/Blind videos/PO48.MP4	61	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	3.400	H:/Individual recognition vids/Blind videos/PO48.MP4	85	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	4.200	H:/Individual recognition vids/Blind videos/PO48.MP4	105	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	5.120	H:/Individual recognition vids/Blind videos/PO48.MP4	128	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	5.800	H:/Individual recognition vids/Blind videos/PO48.MP4	145	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	6.120	H:/Individual recognition vids/Blind videos/PO48.MP4	153	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	8.480	H:/Individual recognition vids/Blind videos/PO48.MP4	212	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	9.600	H:/Individual recognition vids/Blind videos/PO48.MP4	240	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	10.440	H:/Individual recognition vids/Blind videos/PO48.MP4	262	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	11.520	H:/Individual recognition vids/Blind videos/PO48.MP4	288	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	15.440	H:/Individual recognition vids/Blind videos/PO48.MP4	386	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		FVO	Reaction	Distance	POINT	16.640	H:/Individual recognition vids/Blind videos/PO48.MP4	416	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	16.960	H:/Individual recognition vids/Blind videos/PO48.MP4	424	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	18.920	H:/Individual recognition vids/Blind videos/PO48.MP4	473	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	22.400	H:/Individual recognition vids/Blind videos/PO48.MP4	560	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	23.720	H:/Individual recognition vids/Blind videos/PO48.MP4	593	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	27.400	H:/Individual recognition vids/Blind videos/PO48.MP4	685	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	29.600	H:/Individual recognition vids/Blind videos/PO48.MP4	740	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	35.640	H:/Individual recognition vids/Blind videos/PO48.MP4	891	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	36.400	H:/Individual recognition vids/Blind videos/PO48.MP4	910	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	38.680	H:/Individual recognition vids/Blind videos/PO48.MP4	967	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	41.760	H:/Individual recognition vids/Blind videos/PO48.MP4	1044	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Mov	Locomotion	Away from speaker	START	44.200	H:/Individual recognition vids/Blind videos/PO48.MP4	1105	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	45.520	H:/Individual recognition vids/Blind videos/PO48.MP4	1138	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	47.920	H:/Individual recognition vids/Blind videos/PO48.MP4	1198	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	50.880	H:/Individual recognition vids/Blind videos/PO48.MP4	1272	NA	
PO48	2024-04-10 12:03:52.000	JB_FC_15112022_1022.MP4	699.360	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PO48.MP4	0.0	699.360	25.000	JB	FC		2022-09-11T10:00:00	Outer periphery	Sunny	KLF	Recruitment	2m		Look	Reaction	Away from speaker	POINT	55.520	H:/Individual recognition vids/Blind videos/PO48.MP4	1388	NA	
