Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/PT35.MP4	0	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Rst	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/PT35.MP4	0	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	Away from speaker	POINT	49.000	H:/Individual recognition vids/Blind videos/PT35.MP4	1225	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Htlt	Reaction		POINT	49.280	H:/Individual recognition vids/Blind videos/PT35.MP4	1232	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	109.640	H:/Individual recognition vids/Blind videos/PT35.MP4	2741	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Hab	Playback phase		START	112.200	H:/Individual recognition vids/Blind videos/PT35.MP4	2805	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	127.440	H:/Individual recognition vids/Blind videos/PT35.MP4	3186	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	143.680	H:/Individual recognition vids/Blind videos/PT35.MP4	3592	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	157.800	H:/Individual recognition vids/Blind videos/PT35.MP4	3945	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	188.880	H:/Individual recognition vids/Blind videos/PT35.MP4	4722	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	272.560	H:/Individual recognition vids/Blind videos/PT35.MP4	6814	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	319.480	H:/Individual recognition vids/Blind videos/PT35.MP4	7987	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Hab	Playback phase		STOP	358.560	H:/Individual recognition vids/Blind videos/PT35.MP4	8964	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Dhb	Playback phase		START	411.840	H:/Individual recognition vids/Blind videos/PT35.MP4	10296	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	644.080	H:/Individual recognition vids/Blind videos/PT35.MP4	16102	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Dhb	Playback phase		STOP	655.840	H:/Individual recognition vids/Blind videos/PT35.MP4	16396	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	681.440	H:/Individual recognition vids/Blind videos/PT35.MP4	17036	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Other	POINT	684.360	H:/Individual recognition vids/Blind videos/PT35.MP4	17109	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Look	Reaction	At speaker	POINT	691.240	H:/Individual recognition vids/Blind videos/PT35.MP4	17281	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		Htlt	Reaction		POINT	691.600	H:/Individual recognition vids/Blind videos/PT35.MP4	17290	NA	
PT35	2024-04-11 21:25:23.000	Triton_FC_14102022_0948.MP4	731.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/PT35.MP4	0.0	731.520	25.000	Triton	FC		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	2m		FVO	Reaction	Distance	POINT	723.400	H:/Individual recognition vids/Blind videos/PT35.MP4	18085	NA	
