Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/RC92.MP4	0	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		Eat	Time budget	With kin	START	0.000	H:/Individual recognition vids/Blind videos/RC92.MP4	0	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		Look	Reaction	Away from speaker	POINT	3.480	H:/Individual recognition vids/Blind videos/RC92.MP4	87	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		FVO	Reaction	Other	POINT	10.000	H:/Individual recognition vids/Blind videos/RC92.MP4	250	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		FVO	Reaction	Other	POINT	11.440	H:/Individual recognition vids/Blind videos/RC92.MP4	286	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		FVO	Reaction	Other	POINT	12.960	H:/Individual recognition vids/Blind videos/RC92.MP4	324	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		Look	Reaction	At speaker	POINT	14.600	H:/Individual recognition vids/Blind videos/RC92.MP4	365	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		FVO	Reaction	Other	POINT	15.960	H:/Individual recognition vids/Blind videos/RC92.MP4	399	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		FVO	Reaction	Other	POINT	21.000	H:/Individual recognition vids/Blind videos/RC92.MP4	525	NA	
RC92	2024-04-15 00:26:42.000	Leia_FRF_22102022_1753.MP4	744.960	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/RC92.MP4	0.0	744.960	25.000	Leia	FRF		2022-09-11T10:00:00	Outer periphery	Overcast	KLF	Departure	1m		FVO	Reaction	Other	POINT	23.400	H:/Individual recognition vids/Blind videos/RC92.MP4	585	NA	
