Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Ass	Interaction	Kin	START	0.000	H:/Individual recognition vids/Blind videos/UR42.MP4	0	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/UR42.MP4	0	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	START	0.000	H:/Individual recognition vids/Blind videos/UR42.MP4	0	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	3.160	H:/Individual recognition vids/Blind videos/UR42.MP4	79	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Mid neck	STOP	7.199	H:/Individual recognition vids/Blind videos/UR42.MP4	NA	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Rst	Time budget	With kin	START	7.200	H:/Individual recognition vids/Blind videos/UR42.MP4	180	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Hab	Playback phase		START	86.400	H:/Individual recognition vids/Blind videos/UR42.MP4	2160	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Rst	Time budget	With kin	STOP	153.799	H:/Individual recognition vids/Blind videos/UR42.MP4	NA	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Pre	Time budget	With kin	START	153.800	H:/Individual recognition vids/Blind videos/UR42.MP4	3845	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Pre	Time budget	With kin	STOP	158.439	H:/Individual recognition vids/Blind videos/UR42.MP4	NA	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Look	Reaction	At speaker	POINT	158.440	H:/Individual recognition vids/Blind videos/UR42.MP4	3961	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Short Neck	START	158.440	H:/Individual recognition vids/Blind videos/UR42.MP4	3961	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Short Neck	STOP	162.639	H:/Individual recognition vids/Blind videos/UR42.MP4	NA	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Rst	Time budget	With kin	START	162.640	H:/Individual recognition vids/Blind videos/UR42.MP4	4066	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	168.240	H:/Individual recognition vids/Blind videos/UR42.MP4	4206	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	168.920	H:/Individual recognition vids/Blind videos/UR42.MP4	4223	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	171.520	H:/Individual recognition vids/Blind videos/UR42.MP4	4288	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	173.280	H:/Individual recognition vids/Blind videos/UR42.MP4	4332	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	174.720	H:/Individual recognition vids/Blind videos/UR42.MP4	4368	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	176.280	H:/Individual recognition vids/Blind videos/UR42.MP4	4408	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	178.080	H:/Individual recognition vids/Blind videos/UR42.MP4	4452	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	179.600	H:/Individual recognition vids/Blind videos/UR42.MP4	4490	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	181.120	H:/Individual recognition vids/Blind videos/UR42.MP4	4528	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	182.680	H:/Individual recognition vids/Blind videos/UR42.MP4	4567	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	184.120	H:/Individual recognition vids/Blind videos/UR42.MP4	4603	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	185.640	H:/Individual recognition vids/Blind videos/UR42.MP4	4641	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	186.880	H:/Individual recognition vids/Blind videos/UR42.MP4	4672	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	188.120	H:/Individual recognition vids/Blind videos/UR42.MP4	4703	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	189.480	H:/Individual recognition vids/Blind videos/UR42.MP4	4737	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	191.400	H:/Individual recognition vids/Blind videos/UR42.MP4	4785	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	193.680	H:/Individual recognition vids/Blind videos/UR42.MP4	4842	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	195.200	H:/Individual recognition vids/Blind videos/UR42.MP4	4880	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	196.880	H:/Individual recognition vids/Blind videos/UR42.MP4	4922	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		FVO	Reaction	Other	POINT	198.440	H:/Individual recognition vids/Blind videos/UR42.MP4	4961	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Rst	Time budget	With kin	STOP	202.319	H:/Individual recognition vids/Blind videos/UR42.MP4	NA	NA	
UR42	2024-06-23 14:51:46.000	Bayou_FRP_17112022_1000.MP4 Repeat/ Use this one	700.800	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/UR42.MP4	0.0	700.800	25.000	Bayou	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	2m		Vig	Time budget	Long neck	START	202.320	H:/Individual recognition vids/Blind videos/UR42.MP4	5058	NA	
