Observation id	Observation date	Description	Observation duration	Observation type	Source	Time offset (s)	Media duration (s)	FPS	Focal	Treatment	Date	Time	Position	Weather	Site	Call type	Closeset distance	Subject	Behavior	Behavioral category	Modifier #1	Behavior type	Media file name	Image index	Image file path	Comment	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	0.000	H:/Individual recognition vids/Blind videos/ZV73.MP4	0	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	START	0.000	H:/Individual recognition vids/Blind videos/ZV73.MP4	0	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		HSH	Reaction		POINT	3.480	H:/Individual recognition vids/Blind videos/ZV73.MP4	87	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	STOP	4.319	H:/Individual recognition vids/Blind videos/ZV73.MP4	NA	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Pre	Time budget	Alone	START	4.320	H:/Individual recognition vids/Blind videos/ZV73.MP4	108	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Pre	Time budget	Alone	STOP	6.959	H:/Individual recognition vids/Blind videos/ZV73.MP4	NA	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Vig	Time budget	Short Neck	START	6.960	H:/Individual recognition vids/Blind videos/ZV73.MP4	174	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	7.040	H:/Individual recognition vids/Blind videos/ZV73.MP4	176	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		Look	Reaction	At speaker	POINT	7.800	H:/Individual recognition vids/Blind videos/ZV73.MP4	195	NA	
ZV73	2024-07-15 21:43:05.000	Diamante_FRP_13112022_0831.MP4	707.520	Media file(s)	player #1:H:/Individual recognition vids/Blind videos/ZV73.MP4	0.0	707.520	25.000	Diamante	FRP		2022-09-11T10:00:00	Inner eriphery	Overcast	KLF	Recruitment	1m		FVO	Reaction	Distance	POINT	7.960	H:/Individual recognition vids/Blind videos/ZV73.MP4	199	NA	
