Old_File,New_File,Message
Anthony_FC_12102022_0942.tsv,DS73.tsv,The files Anthony_FC_12102022_0942.tsv and DS73.tsv are identical.
Ballantine_FC_09102022_0930.tsv,WD20.tsv,The files Ballantine_FC_09102022_0930.tsv and WD20.tsv are identical.
Barbados_FC_0912022_1000.tsv,LJ18.tsv,The files Barbados_FC_0912022_1000.tsv and LJ18.tsv are identical.
Batate_FC_12102022_1040.tsv,ZP98.tsv,The files Batate_FC_12102022_1040.tsv and ZP98.tsv are identical.
Bernard_FC_09102022_0944.tsv,CS40.tsv,The files Bernard_FC_09102022_0944.tsv and CS40.tsv are identical.
Besenstiel_FC_18102022_0932.tsv,RD59.tsv,The files Besenstiel_FC_18102022_0932.tsv and RD59.tsv are identical.
Diamante_FC_31102022_0944.tsv,BF67.tsv,The files Diamante_FC_31102022_0944.tsv and BF67.tsv are identical.
Einstein_FC_12102022_1050.tsv,QF80.tsv,The files Einstein_FC_12102022_1050.tsv and QF80.tsv are identical.
Emu_FC_14102022_1022.tsv,PM66.tsv,The files Emu_FC_14102022_1022.tsv and PM66.tsv are identical.
Hera_FC_13102022_1030.tsv,AT13.tsv,The files Hera_FC_13102022_1030.tsv and AT13.tsv are identical.
Jafar_FC_12102022_1000.tsv,BB49.tsv,The files Jafar_FC_12102022_1000.tsv and BB49.tsv are identical.
JB_FC_16102022_0944.tsv,BN74.tsv,The files JB_FC_16102022_0944.tsv and BN74.tsv are identical.
Jessica_FC_15102022_1559.tsv,OA29.tsv,The files Jessica_FC_15102022_1559.tsv and OA29.tsv are identical.
Joe_FC_20102022_0922.tsv,AM50.tsv,The files Joe_FC_20102022_0922.tsv and AM50.tsv are identical.
Jumper_FC_13102022_0941.tsv,PQ37.tsv,The files Jumper_FC_13102022_0941.tsv and PQ37.tsv are identical.
Jurek_FC_13102022_1047.tsv,JI99.tsv,The files Jurek_FC_13102022_1047.tsv and JI99.tsv are identical.
Karolina_FC_15102022_1627.tsv,ZN92.tsv,The files Karolina_FC_15102022_1627.tsv and ZN92.tsv are identical.
Koarl_FC_14102022_1035.tsv,BD57.tsv,The files Koarl_FC_14102022_1035.tsv and BD57.tsv are identical.
Krummel_FC_15102022_1613.tsv,BZ68.tsv,The files Krummel_FC_15102022_1613.tsv and BZ68.tsv are identical.
Lando_FC_14102022_1049.tsv,YN28.tsv,The files Lando_FC_14102022_1049.tsv and YN28.tsv are identical.
Lauffuss_FC_19102022_1145.tsv,VM58.tsv,The files Lauffuss_FC_19102022_1145.tsv and VM58.tsv are identical.
Lausbursch_FC_19102022_1021.tsv,CR50.tsv,The files Lausbursch_FC_19102022_1021.tsv and CR50.tsv are identical.
Leia_FC_20102022_0940.tsv,YO16.tsv,The files Leia_FC_20102022_0940.tsv and YO16.tsv are identical.
Longshanks_FC_14102022_0958.tsv,XL84.tsv,The files Longshanks_FC_14102022_0958.tsv and XL84.tsv are identical.
Lukka_FC_12102022_10012.tsv,VA51.tsv,The files Lukka_FC_12102022_10012.tsv and VA51.tsv are identical.
Luna_FC_13102022_1015.tsv,PE20.tsv,The files Luna_FC_13102022_1015.tsv and PE20.tsv are identical.
Lupin_FC_14102022_1010.tsv,PK96.tsv,The files Lupin_FC_14102022_1010.tsv and PK96.tsv are identical.
