Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Allegra_FC_17112022_1052,Dishabituation,FVO,Reaction,Distance,4
Allegra_FC_17112022_1052,Dishabituation,Fllw,Interaction,Kin,3
Allegra_FC_17112022_1052,Dishabituation,HSH,Reaction,None,5
Allegra_FC_17112022_1052,Dishabituation,Htlt,Reaction,None,2
Allegra_FC_17112022_1052,Dishabituation,Look,Reaction,At speaker,17
Allegra_FC_17112022_1052,Dishabituation,Look,Reaction,Away from speaker,47
Allegra_FC_17112022_1052,Dishabituation,Voc,Reaction,Contact,3
Allegra_FC_17112022_1052,Habituation,FVO,Reaction,Distance,3
Allegra_FC_17112022_1052,Habituation,FVO,Reaction,Other,4
Allegra_FC_17112022_1052,Habituation,Fllw,Interaction,Kin,1
Allegra_FC_17112022_1052,Habituation,HSH,Reaction,None,1
Allegra_FC_17112022_1052,Habituation,Look,Reaction,At speaker,4
Allegra_FC_17112022_1052,Habituation,Look,Reaction,Away from speaker,14
Allegra_FC_17112022_1052,Habituation,Voc,Reaction,Contact,3
Allegra_FC_17112022_1052,Silence_1,FVO,Reaction,Other,3
Allegra_FC_17112022_1052,Silence_1,Look,Reaction,Away from speaker,1
Allegra_FC_17112022_1052,Silence_2,FVO,Reaction,Other,7
Allegra_FC_17112022_1052,Silence_3,FVO,Reaction,Other,1
Allegra_FC_17112022_1052,Silence_3,Look,Reaction,Away from speaker,15
Allegra_FC_17112022_1052,Silence_3,Voc,Reaction,Contact,1
Allegra_FRF_20112022_0943,Dishabituation,FVO,Reaction,Distance,11
Allegra_FRF_20112022_0943,Dishabituation,FVO,Reaction,Other,5
Allegra_FRF_20112022_0943,Dishabituation,HSH,Reaction,None,1
Allegra_FRF_20112022_0943,Dishabituation,Look,Reaction,At speaker,15
Allegra_FRF_20112022_0943,Dishabituation,Look,Reaction,Away from speaker,9
Allegra_FRF_20112022_0943,Habituation,FVO,Reaction,Distance,6
Allegra_FRF_20112022_0943,Habituation,Look,Reaction,At speaker,8
Allegra_FRF_20112022_0943,Silence_1,FVO,Reaction,Other,1
Allegra_FRF_20112022_0943,Silence_1,HSH,Reaction,None,1
Allegra_FRF_20112022_0943,Silence_1,Look,Reaction,At speaker,6
Allegra_FRF_20112022_0943,Silence_1,Look,Reaction,Away from speaker,2
Allegra_FRF_20112022_0943,Silence_2,FVO,Reaction,Distance,2
